"AMean","CMean","EMean","ESMean","OMean","ICuriositySum","DCuriositySum","IH1Sum","IH2Sum","IH3Sum","IH4Sum","CloSum","CogSum","AOTSum","HEscore","HRscore","RPSum","sci_cur","sci_tru","sci_impo","sci_id","MatrixCorrectCount","GNGdprime","GNGbetalog","MeanGoRT","SDGoRTlog","GlobalToLocalInterferencelog","GlobalToLocalPrecedencelog","NeckerTotalRatelog","FlexSum"
4,7,6,2,7,21,15,25,23,23,16,41,86,41,0,0,4,15,19,18,19,7,3.69909577069557,-1.7457543982128,404.654000000002,1.77327081701229,0.498271491538875,0.0743437376616272,-0.221848749616356,37.5
4,5.5,4,3,6,21,17,16,21,18,15,43,89,36,1,0,3,16,20,20,18,6,1.89492660139144,-1.00725297394656,332.681756756847,1.94331198511671,0.649487352078058,0.0791338431321891,-0.234083206033368,61
5.5,5,3,3,4.5,21,15,20,18,20,19,51,90,36,0,0,2,18,18,16,15,7,2.33916074782982,-0.572593362900724,400.600000000166,1.92557881166442,0.467508737517447,0.0911680770478933,-0.246672333341389,26.5
5,6.5,2,5,5,20,18,15,19,17,19,75,80,35,1,1,2,17,18,20,16,6,4.00067341372048,-1.62609009493327,425.044481604992,2.01494217542285,0.534680944607951,0.0698418256209665,-0.234083206033368,28.5
6.5,4,6,3,6,23,21,15,22,21,17,52,94,43,0,1,3,17,19,19,19,8,3.73272995771111,-1.73436548704346,409.086666666468,1.81205682626339,0.459629414225513,0.0874756889716905,-0.246672333341389,41
5.5,4,2.5,5,5.5,17,13,25,19,25,21,56,71,37,1,0,3,17,16,17,17,5,2.73192680646224,-1.07166163536145,438.423728813578,1.95667755152916,0.485151873844659,0.0849343466667386,-0.198367653766833,21
4.5,6.5,5.5,7,5,23,12,19,19,23,16,34,88,34,1,0,2,19,15,20,19,5,3.71136470273618,-0.869608358413747,450.086824324372,1.98048866788638,0.518066355826655,0.0755640163664618,-0.273001272063738,40.5
4.5,5.5,4,3,7,19,17,18,19,20,24,49,84,43,1,0,2,12,17,19,18,7,2.71097848574908,-1.86110785189098,354.258503401361,1.92269384456345,0.363898585507595,0.116230242510379,-0.246672333341389,20
3.5,2.5,2.5,4,5.5,22,17,20,21,19,17,46,82,44,1,0,3,18,15,15,18,8,2.69756197568086,-1.22591799064242,362.842662115349,1.87620355057657,0.472342862545855,0.0883404205259657,-0.134698573897456,24
6.5,4,6.5,3,6,9,9,18,20,18,17,62,68,33,1,0,0,8,16,15,10,7,1.39242957939568,-0.360886728693486,427.052044611881,2.06481626633342,0.45933978142264,0.09552969859396,-0.273001272063738,25
4.5,3.5,3.5,3,5,17,10,13,20,17,21,62,64,45,1,1,3,12,15,17,10,4,2.74779101269934,-0.951712109837845,388.616949152542,1.91005108004876,0.445864097914036,0.0896647464713555,-0.209949526316649,44
3.5,4,5,3,5,20,14,14,20,19,19,51,70,44,1,1,2,9,15,17,14,5,4.18008744503974,-0.883978360841636,510.929765886288,1.96718834037164,0.472690931342338,0.0890059067193207,-0.234083206033368,27
6.5,3.5,3,4,5.5,18,19,11,24,22,22,50,74,39,1,1,1,9,12,16,11,7,3.01075507666267,-1.87091972946777,442.87133332928,1.91301453033318,0.491757029835889,0.0769752360453606,-0.259637310505756,29.5
6.5,6,5.5,6,6,22,16,20,20,24,17,60,74,44,1,1,3,18,16,19,17,4,1.86307417161471,-0.713549633878512,461.007692307651,2.12462006259768,0.452321394821704,0.0834259643246356,-0.246672333341389,26
5,6,5.5,6,4.5,20,19,22,20,15,16,53,85,44,1,1,3,12,15,20,16,8,3.06570390517856,-0.980394974795807,510.626262626263,2.01747129145754,0.191822683292944,0.169624233408648,-0.286789556549371,20
