Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;Validity;Validity-text;Validity-quantised;study-comment;END QUESTIONNAIRE
1;1632750875458;27/09/2021 13:54:35;1632750875169;3;27/09/2021 16:54:35;55551;22;questionnaire-81k4;;16022873;BLIND;4733678;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.54;1920x1080;976x809;Openminded Chunk;Validity check self report (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;2718
1;1634726402463;20/10/2021 10:40:02;1634726402247;3;20/10/2021 13:40:02;55551;22;questionnaire-81k4;;16531965;BLIND;4879113;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 78.0;1536x864;1536x721;Openminded Chunk;Validity check self report (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Älä huomioi aineistoani. Jokin muu syy esti minua osallistumasta kunnolla.;;4;Teknisiä ongelmia yhteyksissä;120639
1;1635505550081;29/10/2021 11:05:50;1635505550300;3;29/10/2021 14:05:50;55551;22;questionnaire-81k4;;16769320;BLIND;4959255;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1280x720;1422x641;Openminded Chunk;Validity check self report (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;45459
1;1637620359401;22/11/2021 22:32:39;1637620358994;2;23/11/2021 00:32:38;55551;22;questionnaire-81k4;;17390950;BLIND;5130877;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;1920x937;Openminded Chunk;Validity check self report (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;9185
1;1639397702418;13/12/2021 12:15:02;1639397701877;1;13/12/2021 13:15:01;55551;22;questionnaire-81k4;;17964664;BLIND;5298015;;complete;;;computer;Desktop or Laptop;Linux x86_64;Chrome 96.0.4664.93;1920x1080;1920x924;Openminded Chunk;Validity check self report (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;14380
1;1640611719369;27/12/2021 13:28:39;1640611719430;2;27/12/2021 15:28:39;55551;22;questionnaire-81k4;;18217655;BLIND;5380955;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1366x768;1366x625;Openminded Chunk;Validity check self report (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;9060
1;1641027133762;01/01/2022 08:52:13;1641027134757;2;01/01/2022 10:52:14;55551;22;questionnaire-81k4;;18255220;BLIND;5399212;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1280x720;1280x577;Openminded Chunk;Validity check self report (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;22740
1;1641169686226;03/01/2022 00:28:06;1641169685746;2;03/01/2022 02:28:05;55551;22;questionnaire-81k4;;18265031;BLIND;5411218;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;5760x1080;4147x638;Openminded Chunk;Validity check self report (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;14584
1;1641897012671;11/01/2022 10:30:12;1641897012414;2;11/01/2022 12:30:12;55551;22;questionnaire-81k4;;18421244;BLIND;5451953;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1536x864;1536x739;Openminded Chunk;Validity check self report (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;18566
1;1641845147169;10/01/2022 20:05:47;1641845146969;2;10/01/2022 22:05:46;55551;22;questionnaire-81k4;;18413838;BLIND;5449061;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;2560x1440;2560x1326;Openminded Chunk;Validity check self report (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;98918
1;1641831166424;10/01/2022 16:12:46;1641831166312;2;10/01/2022 18:12:46;55551;22;questionnaire-81k4;;18406875;BLIND;5446920;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Validity check self report (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;;21785
1;1641825506037;10/01/2022 14:38:26;1641825505882;2;10/01/2022 16:38:25;55551;22;questionnaire-81k4;;18402696;BLIND;5446208;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1142x723;Openminded Chunk;Validity check self report (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;Tein joitakin keskittymisvirheitä noissa kirjain tehtävissä. Erityisesti tuo kokonaiskuvio tehtävän hahmotin ensin toistoksi edellisestä, mutta kesken kokeen havaitsin virheeni, joten tulokset muuttuvat kesken kyseisen osion.;83801
1;1641767919166;09/01/2022 22:38:39;1641767918990;2;10/01/2022 00:38:38;55551;22;questionnaire-81k4;;18391771;BLIND;5443570;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Validity check self report (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Aineistoani voi käyttää.;;1;Jestas miten silmissä välkkyy.;23095
