Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;sc-1;sc-1-text;sc-1-quantised;sc-2;sc-2-text;sc-2-quantised;sc-3;sc-3-text;sc-3-quantised;sc-4;sc-4-text;sc-4-quantised;END QUESTIONNAIRE
1;1635788742589;01/11/2021 17:45:42;1635788742426;2;01/11/2021 19:45:42;55551;22;questionnaire-go4a;;16813695;BLIND;4973999;;complete;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 93.0;1440x900;1440x717;Openminded Chunk;Science Curiosity Scale (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Yhtä;;2;Täysin samaa mieltä;;5;Eri mieltä;;2;56663
1;1641766710463;09/01/2022 22:18:30;1641766710307;2;10/01/2022 00:18:30;55551;22;questionnaire-go4a;;18391559;BLIND;5443570;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Science Curiosity Scale (Finnish);7;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Kahta;;3;Täysin samaa mieltä;;5;Ei eri eikä samaa mieltä;;3;23047
1;1641895997477;11/01/2022 10:13:17;1641895997242;2;11/01/2022 12:13:17;55551;22;questionnaire-go4a;;18420775;BLIND;5451953;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1536x864;1536x739;Openminded Chunk;Science Curiosity Scale (Finnish);7;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Kahta;;3;Täysin samaa mieltä;;5;Ei eri eikä samaa mieltä;;3;38568
1;1641844478864;10/01/2022 19:54:38;1641844478668;2;10/01/2022 21:54:38;55551;22;questionnaire-go4a;;18413563;BLIND;5449061;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;2560x1440;2560x1326;Openminded Chunk;Science Curiosity Scale (Finnish);7;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Kahta;;3;Samaa mieltä;;4;Samaa mieltä;;4;93056
1;1641831111651;10/01/2022 16:11:51;1641831111518;2;10/01/2022 18:11:51;55551;22;questionnaire-go4a;;18406860;BLIND;5446920;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Science Curiosity Scale (Finnish);7;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Kahta;;3;Samaa mieltä;;4;Samaa mieltä;;4;52815
1;1641825218612;10/01/2022 14:33:38;1641825218511;2;10/01/2022 16:33:38;55551;22;questionnaire-go4a;;18402577;BLIND;5446208;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1142x723;Openminded Chunk;Science Curiosity Scale (Finnish);7;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Yhtä;;2;Täysin samaa mieltä;;5;Ei eri eikä samaa mieltä;;3;54567
1;1641765055130;09/01/2022 21:50:55;1641765055033;2;09/01/2022 23:50:55;55551;22;questionnaire-go4a;;18391331;BLIND;5443499;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.5;Chrome 96.0.4664.110;1280x800;1280x603;Openminded Chunk;Science Curiosity Scale (Finnish);7;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;En yhtään;;1;Samaa mieltä;;4;Samaa mieltä;;4;91558
1;1641667546818;08/01/2022 18:45:46;1641667546676;2;08/01/2022 20:45:46;55551;22;questionnaire-go4a;;18376017;BLIND;5440344;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1440x900;1440x821;Openminded Chunk;Science Curiosity Scale (Finnish);7;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Kahta;;3;Samaa mieltä;;4;Ei eri eikä samaa mieltä;;3;48165
1;1641563534304;07/01/2022 13:52:14;1641563532587;2;07/01/2022 15:52:12;55551;22;questionnaire-go4a;;18354860;BLIND;5435499;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1200;1504x952;Openminded Chunk;Science Curiosity Scale (Finnish);7;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Kahta;;3;Samaa mieltä;;4;Samaa mieltä;;4;39698
1;1641166474016;02/01/2022 23:34:34;1641166473520;2;03/01/2022 01:34:33;55551;22;questionnaire-go4a;;18264842;BLIND;5411218;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;5760x1080;4147x638;Openminded Chunk;Science Curiosity Scale (Finnish);7;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;29178
