Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;ConsentFlag;END QUESTIONNAIRE
1;1634714204322;20/10/2021 07:16:44;1634714204214;3;20/10/2021 10:16:44;55551;22;questionnaire-o43u;;16526061;BLIND;4886650;;live;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;2560x1440;1696x1265;Science Chunk;Study Information and Consent (Finnish);15;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;;;No;1;726361
1;1634716662355;20/10/2021 07:57:42;1634716662131;3;20/10/2021 10:57:42;55551;22;questionnaire-o43u;;16526655;BLIND;4886779;;rejected - manual;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 94.0.4606.71;1440x900;1440x789;;Study Information and Consent (Finnish);15;;;;;;No;1;18131
1;1634726352973;20/10/2021 10:39:12;1634726352870;3;20/10/2021 13:39:12;55551;22;questionnaire-o43u;;16531952;BLIND;4888071;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 78.0;1536x864;1536x750;Openminded Chunk;Study Information and Consent (Finnish);15;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;36407
1;1637656169115;23/11/2021 08:29:29;1637656169029;2;23/11/2021 10:29:29;55551;22;questionnaire-o43u;;17395764;BLIND;5133207;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Chrome 94.0.4606.81;1920x1080;1842x680;Openminded Chunk;Study Information and Consent (Finnish);15;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;55585
1;1638043834323;27/11/2021 20:10:34;1638043835113;2;27/11/2021 22:10:35;55551;22;questionnaire-o43u;;17526081;BLIND;5175309;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1280x720;1280x577;Openminded Chunk;Study Information and Consent (Finnish);15;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;8256
1;1640065677814;21/12/2021 05:47:57;1640065678521;2;21/12/2021 07:47:58;55551;22;questionnaire-o43u;;18160139;BLIND;5358132;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1600x900;1600x757;Reasoning Chunk;Study Information and Consent (Finnish);15;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;;No;1;44249
1;1641024374571;01/01/2022 08:06:14;1641024375554;2;01/01/2022 10:06:15;55551;22;questionnaire-o43u;;18255176;BLIND;5399212;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1280x720;1280x577;Openminded Chunk;Study Information and Consent (Finnish);15;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;29058
1;1641163485708;02/01/2022 22:44:45;1641163485282;2;03/01/2022 00:44:45;55551;22;questionnaire-o43u;;18264630;BLIND;5411218;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;5760x1080;5184x797;Openminded Chunk;Study Information and Consent (Finnish);15;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;40864
1;1641838944895;10/01/2022 18:22:24;1641838944752;2;10/01/2022 20:22:24;55551;22;questionnaire-o43u;;18410760;BLIND;5449061;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;2560x1440;2560x1326;Openminded Chunk;Study Information and Consent (Finnish);15;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;6778
1;1641892528962;11/01/2022 09:15:28;1641892528771;2;11/01/2022 11:15:28;55551;22;questionnaire-o43u;;18419465;BLIND;5451953;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1536x864;1536x739;Openminded Chunk;Study Information and Consent (Finnish);15;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;101236
1;1641826341561;10/01/2022 14:52:21;1641826341441;2;10/01/2022 16:52:21;55551;22;questionnaire-o43u;;18403004;BLIND;5446920;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;958x927;Openminded Chunk;Study Information and Consent (Finnish);15;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;19060
1;1641763351081;09/01/2022 21:22:31;1641763350986;2;09/01/2022 23:22:30;55551;22;questionnaire-o43u;;18390915;BLIND;5443570;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Study Information and Consent (Finnish);15;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;36764
1;1641761304212;09/01/2022 20:48:24;1641761304103;2;09/01/2022 22:48:24;55551;22;questionnaire-o43u;;18390689;BLIND;5443499;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.5;Chrome 96.0.4664.110;1280x800;1280x603;Openminded Chunk;Study Information and Consent (Finnish);15;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;73734
1;1641664152896;08/01/2022 17:49:12;1641664152736;2;08/01/2022 19:49:12;55551;22;questionnaire-o43u;;18375493;BLIND;5440344;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1440x900;1440x821;Openminded Chunk;Study Information and Consent (Finnish);15;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;64476
1;1641566881546;07/01/2022 14:48:01;1641566883142;2;07/01/2022 16:48:03;55551;22;questionnaire-o43u;;18356470;BLIND;5436244;;live;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1920x1080;958x954;Decision Chunk;Study Information and Consent (Finnish);15;EFDGCHBIAJNKML;Decision Chunk;;;;No;1;306014
