Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;END QUESTIONNAIRE
1;1634736076202;20/10/2021 13:21:16;1634736076103;3;20/10/2021 16:21:16;55551;22;questionnaire-tam4;;16536699;BLIND;4888071;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 78.0;1536x864;1536x750;Openminded Chunk;Debrief (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;139499
1;1635008898993;23/10/2021 17:08:18;1635008908155;2;23/10/2021 19:08:28;55551;22;questionnaire-tam4;;16625059;BLIND;4914191;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1536x864;1536x722;Openminded Chunk;Debrief (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;13085
1;1641897032617;11/01/2022 10:30:32;1641897032366;2;11/01/2022 12:30:32;55551;22;questionnaire-tam4;;18421248;BLIND;5451953;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1536x864;1536x739;Openminded Chunk;Debrief (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;28849
1;1641845247139;10/01/2022 20:07:27;1641845246948;2;10/01/2022 22:07:26;55551;22;questionnaire-tam4;;18413866;BLIND;5449061;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;2560x1440;2560x1326;Openminded Chunk;Debrief (Finnish);6;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;69022
1;1641831190180;10/01/2022 16:13:10;1641831190055;2;10/01/2022 18:13:10;55551;22;questionnaire-tam4;;18406888;BLIND;5446920;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Debrief (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;60452
1;1641825590972;10/01/2022 14:39:50;1641825590879;2;10/01/2022 16:39:50;55551;22;questionnaire-tam4;;18402738;BLIND;5446208;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1142x723;Openminded Chunk;Debrief (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;24791
1;1641767943531;09/01/2022 22:39:03;1641767943342;2;10/01/2022 00:39:03;55551;22;questionnaire-tam4;;18391779;BLIND;5443570;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Debrief (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;39185
1;1641767287967;09/01/2022 22:28:07;1641767287864;2;10/01/2022 00:28:07;55551;22;questionnaire-tam4;;18391643;BLIND;5443499;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.5;Chrome 96.0.4664.110;1280x800;1024x482;Openminded Chunk;Debrief (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;40819
1;1641670775594;08/01/2022 19:39:35;1641670775458;2;08/01/2022 21:39:35;55551;22;questionnaire-tam4;;18376481;BLIND;5440344;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1440x900;1440x821;Openminded Chunk;Debrief (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;699107
1;1641567007090;07/01/2022 14:50:07;1641567006978;2;07/01/2022 16:50:06;55551;22;questionnaire-tam4;;18356568;BLIND;5435499;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1200;1504x952;Openminded Chunk;Debrief (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;43123
1;1641169701982;03/01/2022 00:28:21;1641169701480;2;03/01/2022 02:28:21;55551;22;questionnaire-tam4;;18265032;BLIND;5411218;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;5760x1080;4147x638;Openminded Chunk;Debrief (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;23109
1;1641027158618;01/01/2022 08:52:38;1641027159598;2;01/01/2022 10:52:39;55551;22;questionnaire-tam4;;18255221;BLIND;5399212;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1280x720;1280x577;Openminded Chunk;Debrief (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;22727
1;1640804761955;29/12/2021 19:06:01;1640804762353;2;29/12/2021 21:06:02;55551;22;questionnaire-tam4;;18240003;BLIND;5388970;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1440x900;1152x631;Openminded Chunk;Debrief (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;47788
1;1640709498223;28/12/2021 16:38:18;1640709498054;2;28/12/2021 18:38:18;55551;22;questionnaire-tam4;;18229055;BLIND;5384429;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1440x900;1440x764;Openminded Chunk;Debrief (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;29172
1;1640611729643;27/12/2021 13:28:49;1640611729694;2;27/12/2021 15:28:49;55551;22;questionnaire-tam4;;18217657;BLIND;5380955;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1366x768;1366x625;Openminded Chunk;Debrief (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5336
1;1640300119147;23/12/2021 22:55:19;1640300119012;2;24/12/2021 00:55:19;55551;22;questionnaire-tam4;;18199966;BLIND;5375463;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.1;1920x1080;1920x1000;Openminded Chunk;Debrief (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;46750
1;1640101690995;21/12/2021 15:48:10;1640101690889;2;21/12/2021 17:48:10;55551;22;questionnaire-tam4;;18169911;BLIND;5355205;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1280x800;1280x697;Openminded Chunk;Debrief (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;11671
1;1639745203363;17/12/2021 12:46:43;1639745202990;2;17/12/2021 14:46:42;55551;22;questionnaire-tam4;;18091497;BLIND;5336084;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.1;1440x900;1140x731;Openminded Chunk;Debrief (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;53532
1;1639473277445;14/12/2021 09:14:37;1639473277118;2;14/12/2021 11:14:37;55551;22;questionnaire-tam4;;17984504;BLIND;5305503;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1280x720;1280x593;Openminded Chunk;Debrief (Finnish);6;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;53762
1;1639397719444;13/12/2021 12:15:19;1639397719271;1;13/12/2021 13:15:19;55551;22;questionnaire-tam4;;17964669;BLIND;5298015;;complete;;;computer;Desktop or Laptop;Linux x86_64;Chrome 96.0.4664.93;1920x1080;1920x924;Openminded Chunk;Debrief (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;13572
1;1639242511826;11/12/2021 17:08:31;1639242511410;2;11/12/2021 19:08:31;55551;22;questionnaire-tam4;;17942343;BLIND;5292007;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;960x485;Openminded Chunk;Debrief (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;25521
1;1639212038971;11/12/2021 08:40:38;1639212035557;2;11/12/2021 10:40:35;55551;22;questionnaire-tam4;;17936946;BLIND;5290491;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.93;1536x864;1536x714;Openminded Chunk;Debrief (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;34478
1;1639166252272;10/12/2021 19:57:32;1639166252161;2;10/12/2021 21:57:32;55551;22;questionnaire-tam4;;17928807;BLIND;5287907;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1920x1080;1324x994;Openminded Chunk;Debrief (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;25906
1;1639029917733;09/12/2021 06:05:17;1639029917626;2;09/12/2021 08:05:17;55551;22;questionnaire-tam4;;17872577;BLIND;5258209;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1920x1080;1920x955;Openminded Chunk;Debrief (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;26731
1;1638270753831;30/11/2021 11:12:33;1638270843751;2;30/11/2021 13:14:03;55551;22;questionnaire-tam4;;17582743;BLIND;5191578;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;1920x937;Openminded Chunk;Debrief (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;39801
1;1638233018718;30/11/2021 00:43:38;1638233018596;2;30/11/2021 02:43:38;55551;22;questionnaire-tam4;;17574265;BLIND;5189349;;live;;;computer;Desktop or Laptop;Ubuntu undefined;Firefox 94.0;1600x900;1310x723;Openminded Chunk;Debrief (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;
1;1638047873867;27/11/2021 21:17:53;1638047874652;2;27/11/2021 23:17:54;55551;22;questionnaire-tam4;;17526863;BLIND;5175309;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1280x720;1280x577;Openminded Chunk;Debrief (Finnish);6;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6650
1;1637873752246;25/11/2021 20:55:52;1637873751912;2;25/11/2021 22:55:51;55551;22;questionnaire-tam4;;17490064;BLIND;5156990;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1280x720;1280x577;Openminded Chunk;Debrief (Finnish);6;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;134807
1;1637665931449;23/11/2021 11:12:11;1637665931101;2;23/11/2021 13:12:11;55551;22;questionnaire-tam4;;17400779;BLIND;5133586;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.0;1280x800;1280x712;Openminded Chunk;Debrief (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;25339
1;1637660942459;23/11/2021 09:49:02;1637660942377;2;23/11/2021 11:49:02;55551;22;questionnaire-tam4;;17398200;BLIND;5133207;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Chrome 94.0.4606.81;1920x1080;1842x680;Openminded Chunk;Debrief (Finnish);6;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;52938
1;1637658912921;23/11/2021 09:15:12;1637658913135;2;23/11/2021 11:15:13;55551;22;questionnaire-tam4;;17396221;BLIND;5132910;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.69;1280x720;1280x520;Openminded Chunk;Debrief (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;384771
1;1637620369588;22/11/2021 22:32:49;1637620369188;2;23/11/2021 00:32:49;55551;22;questionnaire-tam4;;17390952;BLIND;5130877;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;1920x937;Openminded Chunk;Debrief (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;80967
1;1637503951179;21/11/2021 14:12:31;1637503949780;2;21/11/2021 16:12:29;55551;22;questionnaire-tam4;;17352154;BLIND;5120203;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1280x720;1280x605;Openminded Chunk;Debrief (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;36093
1;1637333033643;19/11/2021 14:43:53;1637333033540;2;19/11/2021 16:43:53;55551;22;questionnaire-tam4;;17316243;BLIND;5110749;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.6;Chrome 96.0.4664.45;1440x900;1152x613;Openminded Chunk;Debrief (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;70943
1;1635944429297;03/11/2021 13:00:29;1635944429149;2;03/11/2021 15:00:29;55551;22;questionnaire-tam4;;16851946;BLIND;4986367;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1920x1080;1829x967;Openminded Chunk;Debrief (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7727
1;1635861142431;02/11/2021 13:52:22;1635861141516;1;02/11/2021 14:52:21;55551;22;questionnaire-tam4;;16830982;BLIND;4978306;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.69;1536x864;1442x712;Openminded Chunk;Debrief (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;34887
1;1635791530382;01/11/2021 18:32:10;1635791530203;2;01/11/2021 20:32:10;55551;22;questionnaire-tam4;;16814428;BLIND;4973999;;complete;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 93.0;1440x900;1440x717;Openminded Chunk;Debrief (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;32135
1;1635531941300;29/10/2021 18:25:41;1635531940946;3;29/10/2021 21:25:40;55551;22;questionnaire-tam4;;16777500;BLIND;4959547;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.54;1536x864;1707x802;Openminded Chunk;Debrief (Finnish);6;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;30822
1;1635505598226;29/10/2021 11:06:38;1635505598426;3;29/10/2021 14:06:38;55551;22;questionnaire-tam4;;16769339;BLIND;4959255;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1280x720;1422x641;Openminded Chunk;Debrief (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;303614
1;1635358865313;27/10/2021 18:21:05;1635358865462;3;27/10/2021 21:21:05;55551;22;questionnaire-tam4;;16735709;BLIND;4948269;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.54;1280x720;1280x609;Openminded Chunk;Debrief (Finnish);6;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;135959
1;1635353724395;27/10/2021 16:55:24;1635353724143;3;27/10/2021 19:55:24;55551;22;questionnaire-tam4;;16733647;BLIND;4948053;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.0;1680x1050;1680x987;Openminded Chunk;Debrief (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;28523
1;1635348887173;27/10/2021 15:34:47;1635348889278;3;27/10/2021 18:34:49;55551;22;questionnaire-tam4;;16731452;BLIND;4946837;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1366x768;1366x625;Openminded Chunk;Debrief (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;16692
1;1635344207048;27/10/2021 14:16:47;1635344206901;3;27/10/2021 17:16:46;55551;22;questionnaire-tam4;;16728577;BLIND;4945017;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.0;1280x800;997x635;Openminded Chunk;Debrief (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;26249
1;1635337063226;27/10/2021 12:17:43;1635337063133;3;27/10/2021 15:17:43;55551;22;questionnaire-tam4;;16725420;BLIND;4943807;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.54;1280x720;1280x587;Openminded Chunk;Debrief (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;36176
1;1635252975288;26/10/2021 12:56:15;1635252975223;3;26/10/2021 15:56:15;55551;22;questionnaire-tam4;;16690219;BLIND;4929121;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.54;1920x1200;1187x852;Openminded Chunk;Debrief (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;17657
1;1635178660053;25/10/2021 16:17:40;1635178659922;3;25/10/2021 19:17:39;55551;22;questionnaire-tam4;;16663941;BLIND;4922817;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 94.0.4606.54;1280x800;1167x641;Openminded Chunk;Debrief (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;28913
1;1635169286200;25/10/2021 13:41:26;1635169286126;3;25/10/2021 16:41:26;55551;22;questionnaire-tam4;;16658210;BLIND;4921307;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 78.0;1920x1200;1606x1030;Openminded Chunk;Debrief (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;46644
1;1635087060980;24/10/2021 14:51:00;1635087065052;3;24/10/2021 17:51:05;55551;22;questionnaire-tam4;;16635375;BLIND;4916307;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1366x768;1366x643;Openminded Chunk;Debrief (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;25007
