Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Text;Likert;Source;Source_topic;ShowProgressBar
1;1641968224982;12/01/2022 06:17:04;1641968223168;2;12/01/2022 08:17:03;55551;23;task-zryk;;18449214;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);18;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;;;;
2;1641968229994;12/01/2022 06:17:09;1641968228250;2;12/01/2022 08:17:08;55551;23;task-zryk;;18449214;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);18;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;5050;;;;;0;1;0;;;;;;Instructions;;;;;;
3;1641968248025;12/01/2022 06:17:28;1641968246266;2;12/01/2022 08:17:26;55551;23;task-zryk;;18449214;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);18;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;2;Screen 2;advancementZone;continue_button;18010.200000000186;;;;;0;1;0;;;;;;Instructions;;;;;;
4;1641968250533;12/01/2022 06:17:30;1641968248809;2;12/01/2022 08:17:28;55551;23;task-zryk;;18449214;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);18;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;3;Screen 3;advancementZone;continue_button;2539.2000000001863;;;;;0;1;0;;;;;;Instructions;;;;;;
5;1641968261423;12/01/2022 06:17:41;1641968259682;2;12/01/2022 08:17:39;55551;23;task-zryk;;18449214;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);18;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;Zone2;response_rating_scale_likert_active;10865.899999999907;;;En osaa sanoa;1;0;1;0;;;;;;Initial_assessment;;Kuinka todennäköisesti tukisit tätä kansalaisaloitetta?;Varmasti en, Luultavasti en, En osaa sanoa, Luultavasti kyllä, Varmasti kyllä;;;
6;1641968263738;12/01/2022 06:17:43;1641968262009;2;12/01/2022 08:17:42;55551;23;task-zryk;;18449214;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);18;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;2;1;Screen 1;Zone2;response_rating_scale_likert_active;2310.899999999907;;;Hiukan tuttu;1;0;1;0;;;;;;Initial_assessment;;Kuinka tuttu tämä aihe on sinulle?;Ei ollenkaan tuttu, Hiukan tuttu, Jokseenkin tuttu, Hyvin tuttu, Erittäin tuttu;;;
7;1641968266300;12/01/2022 06:17:46;1641968264553;2;12/01/2022 08:17:44;55551;23;task-zryk;;18449214;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);18;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;3;1;Screen 1;Zone2;response_rating_scale_likert_active;2526.9000000003725;;;Erittäin kiinnostava;1;0;1;0;;;;;;Initial_assessment;;Kuinka kiinnostava tämän kansalaisaloitteen aihe on mielestäsi?;Ei ollenkaan kiinnostava, Hiukan kiinnostava, Jokseenkin kiinnostava, Hyvin kiinnostava, Erittäin kiinnostava;;;
8;1641968269336;12/01/2022 06:17:49;1641968267609;2;12/01/2022 08:17:47;55551;23;task-zryk;;18449214;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);18;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;5;4;1;Screen 1;Zone2;response_rating_scale_likert_active;3027.600000000093;;;Hyvin uteliaasti;1;0;1;0;;;;;;Initial_assessment;;Kuinka uteliaasti suhtaudut tämän kansalaisaloitteen aiheeseen?;En ollenkaan uteliaasti, Hiukan uteliaasti, Jokseenkin uteliaasti, Hyvin uteliaasti, Erittäin uteliaasti;;;
9;1641968274736;12/01/2022 06:17:54;1641968273002;2;12/01/2022 08:17:53;55551;23;task-zryk;;18449214;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);18;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;6;1;1;Screen 1;Zone9;response_button_image;5373;;;SAM_1.3.PNG;1;0;1;0;;;;;;SAM1;;;;;;
10;1641968283038;12/01/2022 06:18:03;1641968281297;2;12/01/2022 08:18:01;55551;23;task-zryk;;18449214;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Citizen's Initiative (Finnish) (2nd version);18;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;6;1;2;Screen 2;Zone19;response_button_image;8283.600000000093;;;SAM_2.4.PNG;1;0;1;0;;;;;;SAM1;;;;;;
