Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;openNormal1;openNormal1-quantised;openNormal2;openNormal2-quantised;openNormal3;openNormal3-quantised;openReverse1;openReverse1-quantised;openReverse2;openReverse2-quantised;openReverse3;openReverse3-quantised;openReverse4;openReverse4-quantised;END QUESTIONNAIRE
1;1642099131928;13/01/2022 18:38:51;1642099131678;2;13/01/2022 20:38:51;55551;24;questionnaire-7qsg;;18499889;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;7;7;6;6;1;1;1;1;2;2;1;1;54640
1;1642148697193;14/01/2022 08:24:57;1642148696337;2;14/01/2022 10:24:56;55551;24;questionnaire-7qsg;;18506880;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1536x753;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;6;6;6;6;1;1;2;2;1;1;1;1;51820
1;1642175306419;14/01/2022 15:48:26;1642175306329;2;14/01/2022 17:48:26;55551;24;questionnaire-7qsg;;18515212;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1280x671;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;7;7;5;5;1;1;3;3;3;3;2;2;48167
1;1642269319767;15/01/2022 17:55:19;1642269321594;2;15/01/2022 19:55:21;55551;24;questionnaire-7qsg;;18537524;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1883x899;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;7;7;5;5;2;2;4;4;3;3;2;2;63909
1;1642269851449;15/01/2022 18:04:11;1642269851344;2;15/01/2022 20:04:11;55551;24;questionnaire-7qsg;;18537605;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1190x664;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;6;6;7;7;1;1;5;5;3;3;2;2;36958
1;1642277248540;15/01/2022 20:07:28;1642277245684;2;15/01/2022 22:07:25;55551;24;questionnaire-7qsg;;18538870;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1152x648;1152x536;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;6;6;1;1;3;3;3;3;2;2;83343
1;1642328982693;16/01/2022 10:29:42;1642328983908;2;16/01/2022 12:29:43;55551;24;questionnaire-7qsg;;18543297;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;6;6;2;2;4;4;4;4;3;3;27159
1;1642329197113;16/01/2022 10:33:17;1642329196961;2;16/01/2022 12:33:16;55551;24;questionnaire-7qsg;;18543324;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;6;6;1;1;5;5;3;3;1;1;30666
1;1642430228058;17/01/2022 14:37:08;1642430227189;2;17/01/2022 16:37:07;55551;24;questionnaire-7qsg;;18564212;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;5;5;5;5;1;1;5;5;2;2;2;2;75589
1;1642445544155;17/01/2022 18:52:24;1642445532994;2;17/01/2022 20:52:12;55551;24;questionnaire-7qsg;;18575338;BLIND;5498171;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x609;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;7;7;7;7;1;1;4;4;3;3;1;1;48970
1;1642479058453;18/01/2022 04:10:58;1642479058257;2;18/01/2022 06:10:58;55551;24;questionnaire-7qsg;;18582388;BLIND;5500754;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.71;2048x1152;1988x959;Science Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;;;No;6;6;6;6;3;3;2;2;3;3;2;2;2;2;56262
1;1642492831785;18/01/2022 08:00:31;1642492833089;2;18/01/2022 10:00:33;55551;24;questionnaire-7qsg;;18583177;BLIND;5501079;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Decision Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;MNLAKBJCIDHEGF;Decision Chunk;;;;No;6;6;6;6;6;6;2;2;5;5;4;4;2;2;61428
1;1642513974277;18/01/2022 13:52:54;1642513974180;2;18/01/2022 15:52:54;55551;24;questionnaire-7qsg;;18594937;BLIND;5504593;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 95.0.4638.69;1440x900;1440x750;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;6;6;2;2;3;3;3;3;4;4;52816
1;1642524683777;18/01/2022 16:51:23;1642524683570;2;18/01/2022 18:51:23;55551;24;questionnaire-7qsg;;18604214;BLIND;5506382;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 95.0.4638.69;1280x800;1279x639;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;5;5;1;1;2;2;2;2;1;1;62141
1;1642525519170;18/01/2022 17:05:19;1642525519046;2;18/01/2022 19:05:19;55551;24;questionnaire-7qsg;;18605100;BLIND;5505611;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.6;Chrome 96.0.4664.110;1366x768;1356x589;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;6;6;1;1;2;2;4;4;1;1;245193
1;1642525915143;18/01/2022 17:11:55;1642525915016;2;18/01/2022 19:11:55;55551;24;questionnaire-7qsg;;18605559;BLIND;5507405;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1440x900;1352x811;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;5;5;2;2;1;1;2;2;2;2;57466
1;1642603894146;19/01/2022 14:51:34;1642603894035;2;19/01/2022 16:51:34;55551;24;questionnaire-7qsg;;18642796;BLIND;5517409;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1600x789;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;6;6;6;6;2;2;5;5;2;2;2;2;56330
1;1642615737288;19/01/2022 18:08:57;1642615737180;2;19/01/2022 20:08:57;55551;24;questionnaire-7qsg;;18652974;BLIND;5520492;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.2;1920x1080;996x820;Openminded Chunk;Actively Openminded Thinking Questionnaire (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7;7;7;7;7;7;1;1;1;1;1;1;1;1;28829
END OF FILE
