Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;END QUESTIONNAIRE
1;1642095779987;13/01/2022 17:42:59;1642095779867;2;13/01/2022 19:42:59;55551;24;questionnaire-ddu6;;18498713;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;General Instructions (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2478
1;1642145497341;14/01/2022 07:31:37;1642145496455;2;14/01/2022 09:31:36;55551;24;questionnaire-ddu6;;18506542;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1920x941;Openminded Chunk;General Instructions (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2472
1;1642170525525;14/01/2022 14:28:45;1642170525461;2;14/01/2022 16:28:45;55551;24;questionnaire-ddu6;;18513462;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x1007;Openminded Chunk;General Instructions (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1460
1;1642264578345;15/01/2022 16:36:18;1642264578274;2;15/01/2022 18:36:18;55551;24;questionnaire-ddu6;;18536617;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1199x595;Openminded Chunk;General Instructions (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5016
1;1642264643613;15/01/2022 16:37:23;1642264645478;2;15/01/2022 18:37:25;55551;24;questionnaire-ddu6;;18536631;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1876x899;Openminded Chunk;General Instructions (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;7168
1;1642271513057;15/01/2022 18:31:53;1642271510178;2;15/01/2022 20:31:50;55551;24;questionnaire-ddu6;;18537845;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1280x720;1280x595;Openminded Chunk;General Instructions (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5425
1;1642279678295;15/01/2022 20:47:58;1642279677028;2;15/01/2022 22:47:57;55551;24;questionnaire-ddu6;;18539347;BLIND;5487301;;live;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.71;1366x768;1366x657;Decision Chunk;General Instructions (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;;;;No;5607
1;1642325349355;16/01/2022 09:29:09;1642325350529;2;16/01/2022 11:29:10;55551;24;questionnaire-ddu6;;18542435;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;General Instructions (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5136
1;1642326486038;16/01/2022 09:48:06;1642326485891;2;16/01/2022 11:48:05;55551;24;questionnaire-ddu6;;18542725;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;General Instructions (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1878
1;1642421052984;17/01/2022 12:04:12;1642421052205;2;17/01/2022 14:04:12;55551;24;questionnaire-ddu6;;18558153;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;General Instructions (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6352
1;1642442427561;17/01/2022 18:00:27;1642442416375;2;17/01/2022 20:00:16;55551;24;questionnaire-ddu6;;18573940;BLIND;5498171;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x609;Openminded Chunk;General Instructions (Finnish);6;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3199
1;1642477599996;18/01/2022 03:46:39;1642477599673;2;18/01/2022 05:46:39;55551;24;questionnaire-ddu6;;18582294;BLIND;5500754;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.71;2048x1152;1988x959;Science Chunk;General Instructions (Finnish);6;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;;;No;6652
1;1642488612649;18/01/2022 06:50:12;1642488613401;2;18/01/2022 08:50:13;55551;24;questionnaire-ddu6;;18582832;BLIND;5501079;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Decision Chunk;General Instructions (Finnish);6;MNLAKBJCIDHEGF;Decision Chunk;;;;No;3741
1;1642512234531;18/01/2022 13:23:54;1642512234454;2;18/01/2022 15:23:54;55551;24;questionnaire-ddu6;;18593503;BLIND;5504593;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 95.0.4638.69;1440x900;1440x750;Openminded Chunk;General Instructions (Finnish);6;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;451973
1;1642515411907;18/01/2022 14:16:51;1642515411814;2;18/01/2022 16:16:51;55551;24;questionnaire-ddu6;;18596475;BLIND;5505611;;complete;;;computer;Desktop or Laptop;Mac OS 10.14.6;Chrome 96.0.4664.110;1366x768;1356x589;Openminded Chunk;General Instructions (Finnish);6;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6873
1;1642520567187;18/01/2022 15:42:47;1642520567061;2;18/01/2022 17:42:47;55551;24;questionnaire-ddu6;;18601522;BLIND;5507405;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1440x900;1352x811;Openminded Chunk;General Instructions (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5035
1;1642521919309;18/01/2022 16:05:19;1642521919078;2;18/01/2022 18:05:19;55551;24;questionnaire-ddu6;;18601968;BLIND;5506382;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 95.0.4638.69;1280x800;1279x639;Openminded Chunk;General Instructions (Finnish);6;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;9053
1;1642600135707;19/01/2022 13:48:55;1642600136662;2;19/01/2022 15:48:56;55551;24;questionnaire-ddu6;;18640442;BLIND;5517409;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1600x789;Openminded Chunk;General Instructions (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6337
1;1642610993850;19/01/2022 16:49:53;1642610993727;2;19/01/2022 18:49:53;55551;24;questionnaire-ddu6;;18649270;BLIND;5520492;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.2;1920x1080;1145x942;Openminded Chunk;General Instructions (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3287
1;1642620739761;19/01/2022 19:32:19;1642620739633;2;19/01/2022 21:32:19;55551;24;questionnaire-ddu6;;18655514;BLIND;5522622;;live;;;computer;Desktop or Laptop;Windows 10;Firefox 91.0;1280x720;1280x539;Decision Chunk;General Instructions (Finnish);6;FGEHDICJBKALNM;Decision Chunk;;;;No;6359
1;1642665387628;20/01/2022 07:56:27;1642665387494;2;20/01/2022 09:56:27;55551;24;questionnaire-ddu6;;18664172;BLIND;5526450;;live;;;computer;Desktop or Laptop;Windows 10;Firefox 91.0;1920x1080;1079x904;Reasoning Chunk;General Instructions (Finnish);6;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;;No;1653
END OF FILE
