Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;cognition1;cognition1-quantised;cognition2;cognition2-quantised;cognition3-rev;cognition3-rev-quantised;cognition4-rev;cognition4-rev-quantised;cognition5-rev;cognition5-rev-quantised;cognition6;cognition6-quantised;cognition7-rev;cognition7-rev-quantised;cognition8-rev;cognition8-rev-quantised;cognition9-rev;cognition9-rev-quantised;cognition10;cognition10-quantised;cognition11;cognition11-quantised;cognition12-rev;cognition12-rev-quantised;cognition13;cognition13-quantised;cognition14;cognition14-quantised;cognition15;cognition15-quantised;cognition16-rev;cognition16-rev-quantised;cognition17-rev;cognition17-rev-quantised;cognition18;cognition18-quantised;END QUESTIONNAIRE
1;1642101028483;13/01/2022 19:10:28;1642101028169;2;13/01/2022 21:10:28;55551;24;questionnaire-eygv;;18500400;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Need for Cognition Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;3;3;3;3;4;4;1;1;5;5;3;3;2;2;5;5;4;4;4;4;2;2;1;1;3;3;2;2;5;5;4;4;6;6;112860
1;1642151893788;14/01/2022 09:18:13;1642151892872;2;14/01/2022 11:18:12;55551;24;questionnaire-eygv;;18507380;BLIND;5476245;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1920x1080;1536x753;Openminded Chunk;Need for Cognition Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;1;1;3;3;2;2;6;6;1;1;3;3;3;3;5;5;5;5;1;1;4;4;6;6;5;5;1;1;1;1;5;5;132321
1;1642176463859;14/01/2022 16:07:43;1642176463764;2;14/01/2022 18:07:43;55551;24;questionnaire-eygv;;18515716;BLIND;5478640;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1280x671;Openminded Chunk;Need for Cognition Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;4;4;1;1;3;3;3;3;6;6;1;1;2;2;3;3;4;4;5;5;2;2;4;4;6;6;3;3;3;3;1;1;6;6;78879
1;1642269082273;15/01/2022 17:51:22;1642269082109;2;15/01/2022 19:51:22;55551;24;questionnaire-eygv;;18537460;BLIND;5486645;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1600x900;1190x664;Openminded Chunk;Need for Cognition Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;1;1;2;2;2;2;5;5;2;2;3;3;3;3;5;5;6;6;1;1;5;5;6;6;5;5;2;2;2;2;5;5;109488
1;1642269385122;15/01/2022 17:56:25;1642269386962;2;15/01/2022 19:56:26;55551;24;questionnaire-eygv;;18537543;BLIND;5486644;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1883x899;Openminded Chunk;Need for Cognition Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;5;5;2;2;3;3;2;2;4;4;3;3;3;3;1;1;5;5;6;6;2;2;4;4;3;3;4;4;2;2;1;1;5;5;122806
1;1642275090300;15/01/2022 19:31:30;1642275087461;2;15/01/2022 21:31:27;55551;24;questionnaire-eygv;;18538566;BLIND;5486960;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1152x648;1152x536;Openminded Chunk;Need for Cognition Scale (Finnish);5;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;1;1;5;5;1;1;5;5;2;2;3;3;4;4;6;6;5;5;2;2;3;3;5;5;5;5;3;3;2;2;5;5;163235
1;1642280601127;15/01/2022 21:03:21;1642280599851;2;15/01/2022 23:03:19;55551;24;questionnaire-eygv;;18539434;BLIND;5487301;;live;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.71;1366x768;1366x657;Decision Chunk;Need for Cognition Scale (Finnish);5;GHFIEJDKCLBMAN;Decision Chunk;;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1642327568649;16/01/2022 10:06:08;1642327569853;2;16/01/2022 12:06:09;55551;24;questionnaire-eygv;;18543025;BLIND;5488274;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 85.0.4103.102;1920x1080;1922x964;Openminded Chunk;Need for Cognition Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;2;2;2;2;2;2;5;5;2;2;5;5;6;6;4;4;5;5;2;2;5;5;4;4;3;3;4;4;3;3;5;5;116834
1;1642327773724;16/01/2022 10:09:33;1642327773549;2;16/01/2022 12:09:33;55551;24;questionnaire-eygv;;18543076;BLIND;5488336;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 14.1.2;1440x900;1440x820;Openminded Chunk;Need for Cognition Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;2;2;1;1;3;3;3;3;4;4;3;3;6;6;4;4;4;4;4;4;2;2;1;1;1;1;2;2;5;5;3;3;6;6;77239
1;1642428882555;17/01/2022 14:14:42;1642428881662;2;17/01/2022 16:14:41;55551;24;questionnaire-eygv;;18563147;BLIND;5493143;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1536x864;1536x722;Openminded Chunk;Need for Cognition Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;3;3;3;3;3;3;4;4;3;3;1;1;4;4;4;4;4;4;3;3;3;3;2;2;2;2;2;2;4;4;2;2;5;5;230233
1;1642445456734;17/01/2022 18:50:56;1642445445580;2;17/01/2022 20:50:45;55551;24;questionnaire-eygv;;18575304;BLIND;5498171;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x609;Openminded Chunk;Need for Cognition Scale (Finnish);5;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;1;1;5;5;2;2;5;5;2;2;2;2;4;4;5;5;5;5;1;1;5;5;5;5;4;4;3;3;2;2;5;5;83815
1;1642515619550;18/01/2022 14:20:19;1642515619463;2;18/01/2022 16:20:19;55551;24;questionnaire-eygv;;18596621;BLIND;5504593;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 95.0.4638.69;1440x900;1440x750;Openminded Chunk;Need for Cognition Scale (Finnish);5;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;2;2;2;2;2;2;3;3;4;4;2;2;3;3;4;4;4;4;5;5;2;2;1;1;5;5;5;5;5;5;3;3;6;6;122480
1;1642527163158;18/01/2022 17:32:43;1642527163041;2;18/01/2022 19:32:43;55551;24;questionnaire-eygv;;18606605;BLIND;5507405;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1440x900;1352x811;Openminded Chunk;Need for Cognition Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;4;4;2;2;2;2;2;2;5;5;2;2;3;3;3;3;2;2;4;4;2;2;3;3;4;4;4;4;3;3;2;2;5;5;100520
