Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;response;response_count;Image
1;1642099220723;13/01/2022 18:40:20;1642099220452;2;13/01/2022 20:40:20;55551;24;task-9nll;;18499910;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;
2;1642099236543;13/01/2022 18:40:36;1642099236292;2;13/01/2022 20:40:36;55551;24;task-9nll;;18499910;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;15770;;;;;0;1;0;;;;;;Instructions;;;
3;1642099242041;13/01/2022 18:40:42;1642099241820;2;13/01/2022 20:40:41;55551;24;task-9nll;;18499910;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;Zone1;continue_keyboard;5478;;;;;0;1;0;;;;;;Trial 1;space;;cube.PNG
4;1642099253878;13/01/2022 18:40:53;1642099253647;2;13/01/2022 20:40:53;55551;24;task-9nll;;18499910;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;11815;;;space;1;1;0;0;;;;;;Trial 1;space;;cube.PNG
5;1642099255904;13/01/2022 18:40:55;1642099255659;2;13/01/2022 20:40:55;55551;24;task-9nll;;18499910;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;13826;;;space;2;1;0;0;;;;;;Trial 1;space;;cube.PNG
6;1642099272026;13/01/2022 18:41:12;1642099271811;2;13/01/2022 20:41:11;55551;24;task-9nll;;18499910;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;content;timelimit_screen;29994.059999999998;;;;;0;1;0;;;1;;;Trial 1;space;;cube.PNG
7;1642099275160;13/01/2022 18:41:15;1642099274913;2;13/01/2022 20:41:14;55551;24;task-9nll;;18499910;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;1;Screen 1;advancementZone;continue_keyboard;3065;;;;;0;1;0;;;;;;Trial 2;space;;cube.PNG
8;1642099280718;13/01/2022 18:41:20;1642099280507;2;13/01/2022 20:41:20;55551;24;task-9nll;;18499910;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;2;Screen 2;advancementZone;response_keyboard_single;5563;;;space;1;1;0;0;;;;;;Trial 2;space;;cube.PNG
9;1642099282485;13/01/2022 18:41:22;1642099282241;2;13/01/2022 20:41:22;55551;24;task-9nll;;18499910;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;2;Screen 2;advancementZone;response_keyboard_single;7298;;;space;2;1;0;0;;;;;;Trial 2;space;;cube.PNG
10;1642099287422;13/01/2022 18:41:27;1642099287176;2;13/01/2022 20:41:27;55551;24;task-9nll;;18499910;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;2;Screen 2;advancementZone;response_keyboard_single;12233;;;space;3;1;0;0;;;;;;Trial 2;space;;cube.PNG
