Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;harjoitustehtävä_stimuli;harjoitustehtävä_vastaus;Task_stimuli_6;Task_stimuli_8;ANSWER
1;1642100115110;13/01/2022 18:55:15;1642100114822;2;13/01/2022 20:55:14;55551;24;task-tg12;;18500160;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Matrix reasoning task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;;;
2;1642100122433;13/01/2022 18:55:22;1642100122028;2;13/01/2022 20:55:22;55551;24;task-tg12;;18500160;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Matrix reasoning task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;7142;;;;;0;1;0;;;;;;Ohjeet;;;;;
3;1642100125904;13/01/2022 18:55:25;1642100125548;2;13/01/2022 20:55:25;55551;24;task-tg12;;18500160;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Matrix reasoning task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;advancementZone;continue_button;3463;;;;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
4;1642100154349;13/01/2022 18:55:54;1642100153959;2;13/01/2022 20:55:53;55551;24;task-tg12;;18500160;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Matrix reasoning task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;likert;response_rating_scale_likert;28365;;;4;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
5;1642100154509;13/01/2022 18:55:54;1642100153963;2;13/01/2022 20:55:53;55551;24;task-tg12;;18500160;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Matrix reasoning task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;continueButton;continue_button;28365;;;;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
6;1642100156822;13/01/2022 18:55:56;1642100156459;2;13/01/2022 20:55:56;55551;24;task-tg12;;18500160;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Matrix reasoning task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;3;Screen 3;advancementZone;continue_button;2468;;;;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
7;1642100159210;13/01/2022 18:55:59;1642100158802;2;13/01/2022 20:55:58;55551;24;task-tg12;;18500160;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Matrix reasoning task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;4;Screen 4;advancementZone;continue_button;2317;;;;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
8;1642100171861;13/01/2022 18:56:11;1642100171586;2;13/01/2022 20:56:11;55551;24;task-tg12;;18500160;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Matrix reasoning task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;5;Screen 5;advancementZone;continue_button;12760;;;;;0;1;0;;;;;;Harjoitustehtävä;Task1_kokokuva.png;Screenshot 2019-11-25 at 15.37.15.png;;;
9;1642100184920;13/01/2022 18:56:24;1642100184468;2;13/01/2022 20:56:24;55551;24;task-tg12;;18500160;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Matrix reasoning task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;1;Screen 1;likert;response_rating_scale_likert_active;12828;;;4;1;1;0;0;;;;;;Tehtävä_6;;;A11_tehtävä1.png;;4
10;1642100203978;13/01/2022 18:56:43;1642100203599;2;13/01/2022 20:56:43;55551;24;task-tg12;;18500160;BLIND;5473445;;live;;;computer;Desktop or Laptop;Windows 7;Firefox 95.0;1366x768;1366x654;Openminded Chunk;Matrix reasoning task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;2;1;Screen 1;likert;response_rating_scale_likert_active;19066;;;5;1;1;0;0;;;;;;Tehtävä_6;;;B12_tehtävä2.png;;5
