Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;Icuriosity1;Icuriosity1-quantised;Dcuriosity1;Dcuriosity1-quantised;Icuriosity2;Icuriosity2-quantised;Dcuriosity2;Dcuriosity2-quantised;Icuriosity3;Icuriosity3-quantised;Dcuriosity3;Dcuriosity3-quantised;Icuriosity4;Icuriosity4-quantised;Dcuriosity4;Dcuriosity4-quantised;Icuriosity5;Icuriosity5-quantised;Dcuriosity5;Dcuriosity5-quantised;END QUESTIONNAIRE
1;1642775126028;21/01/2022 14:25:26;1642775126218;2;21/01/2022 16:25:26;55551;25;questionnaire-2wlk;;18726749;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;5;5;2;2;5;5;4;4;4;4;5;5;2;2;3;3;96551
1;1642793144838;21/01/2022 19:25:44;1642793144430;2;21/01/2022 21:25:44;55551;25;questionnaire-2wlk;;18741327;BLIND;5548631;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;2560x1287;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;4;4;3;3;4;4;4;4;5;5;5;5;5;5;5;5;107446
1;1642855984265;22/01/2022 12:53:04;1642856046991;2;22/01/2022 14:54:06;55551;25;questionnaire-2wlk;;18756560;BLIND;5552405;;live;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.71;1366x768;1366x625;Decision Chunk;Epistemic Curiosity Scale (Finnish);5;CDBEAFNGMHLIKJ;Decision Chunk;;;;No;3;3;1;1;3;3;3;3;3;3;4;4;3;3;4;4;2;2;5;5;36854
1;1642890861555;22/01/2022 22:34:21;1642890860954;2;23/01/2022 00:34:20;55551;25;questionnaire-2wlk;;18767822;BLIND;5555000;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;2560x1440;2560x1329;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;5;5;3;3;5;5;4;4;3;3;5;5;4;4;2;2;44873
1;1642931538322;23/01/2022 09:52:18;1642931537774;2;23/01/2022 11:52:17;55551;25;questionnaire-2wlk;;18772317;BLIND;5555882;;complete;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 96.0;1440x900;1440x685;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;57823
1;1642966483412;23/01/2022 19:34:43;1642966483303;2;23/01/2022 21:34:43;55551;25;questionnaire-2wlk;;18786679;BLIND;5556093;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1366x768;1301x626;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;1;1;4;4;3;3;5;5;3;3;3;3;3;3;2;2;3;3;70920
1;1642972974518;23/01/2022 21:22:54;1642972973992;2;23/01/2022 23:22:53;55551;25;questionnaire-2wlk;;18789578;BLIND;5559681;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1447x766;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;5;5;3;3;5;5;3;3;4;4;5;5;5;5;4;4;41438
1;1643024672185;24/01/2022 11:44:32;1643024672047;2;24/01/2022 13:44:32;55551;25;questionnaire-2wlk;;18799686;BLIND;5562166;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1536x864;1462x762;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;1;1;5;5;3;3;5;5;3;3;4;4;4;4;3;3;4;4;43859
1;1643052879050;24/01/2022 19:34:39;1643052877897;2;24/01/2022 21:34:37;55551;25;questionnaire-2wlk;;18825609;BLIND;5569558;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;5;5;4;4;5;5;3;3;5;5;4;4;4;4;4;4;38723
1;1643114960070;25/01/2022 12:49:20;1643114958665;2;25/01/2022 14:49:18;55551;25;questionnaire-2wlk;;18848004;BLIND;5578226;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1680x1050;1680x899;Reasoning Chunk;Epistemic Curiosity Scale (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;;No;3;3;1;1;5;5;4;4;4;4;4;4;5;5;4;4;1;1;2;2;47928
1;1643303840429;27/01/2022 17:17:20;1643303839735;2;27/01/2022 19:17:19;55551;25;questionnaire-2wlk;;18936617;BLIND;5608075;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;2560x1440;2327x1218;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;5;5;2;2;5;5;4;4;5;5;4;4;5;5;4;4;4727258
1;1643353955460;28/01/2022 07:12:35;1643353983500;2;28/01/2022 09:13:03;55551;25;questionnaire-2wlk;;18951617;BLIND;5614189;;complete;;;computer;Desktop or Laptop;Linux i686;Firefox 78.0;1680x1050;1680x898;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;1;1;5;5;4;4;5;5;2;2;5;5;5;5;4;4;5;5;45768
1;1643380849321;28/01/2022 14:40:49;1643380849146;2;28/01/2022 16:40:49;55551;25;questionnaire-2wlk;;18963952;BLIND;5616968;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1301x732;1302x659;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;5;5;4;4;5;5;4;4;5;5;2;2;5;5;3;3;57019
1;1643388299272;28/01/2022 16:44:59;1643388299118;2;28/01/2022 18:44:59;55551;25;questionnaire-2wlk;;18967928;BLIND;5618126;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1920x1080;1280x587;Openminded Chunk;Epistemic Curiosity Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;2;2;4;4;3;3;5;5;4;4;3;3;4;4;4;4;3;3;65203
