Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;closure1;closure1-quantised;closure2;closure2-quantised;closure3;closure3-quantised;closure4;closure4-quantised;closure5;closure5-quantised;closure6;closure6-quantised;closure7;closure7-quantised;closure8;closure8-quantised;closure9;closure9-quantised;closure10;closure10-quantised;closure11;closure11-quantised;closure12;closure12-quantised;closure13;closure13-quantised;closure14;closure14-quantised;closure15;closure15-quantised;END QUESTIONNAIRE
1;1642776388809;21/01/2022 14:46:28;1642776389029;2;21/01/2022 16:46:29;55551;25;questionnaire-mz16;;18727615;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Need for Closure Scale (Finnish);5;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;3;3;4;4;3;3;2;2;3;3;6;6;4;4;4;4;3;3;1;1;4;4;4;4;1;1;2;2;195382
1;1642796592911;21/01/2022 20:23:12;1642796592506;2;21/01/2022 22:23:12;55551;25;questionnaire-mz16;;18743307;BLIND;5548631;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;2560x1287;Openminded Chunk;Need for Closure Scale (Finnish);5;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;1;1;4;4;3;3;3;3;3;3;4;4;2;2;3;3;6;6;4;4;4;4;4;4;1;1;4;4;204076
1;1642892745914;22/01/2022 23:05:45;1642892745315;2;23/01/2022 01:05:45;55551;25;questionnaire-mz16;;18768137;BLIND;5555000;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;2560x1440;2560x1329;Openminded Chunk;Need for Closure Scale (Finnish);5;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;3;3;4;4;4;4;6;6;5;5;2;2;2;2;6;6;1;1;4;4;3;3;1;1;5;5;54498
1;1642933141750;23/01/2022 10:19:01;1642933141100;2;23/01/2022 12:19:01;55551;25;questionnaire-mz16;;18772762;BLIND;5555882;;complete;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 96.0;1440x900;1440x685;Openminded Chunk;Need for Closure Scale (Finnish);5;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;3;3;5;5;5;5;4;4;5;5;6;6;3;3;4;4;6;6;4;4;4;4;4;4;2;2;5;5;93800
1;1642966348165;23/01/2022 19:32:28;1642966348045;2;23/01/2022 21:32:28;55551;25;questionnaire-mz16;;18786631;BLIND;5556093;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1366x768;1301x626;Openminded Chunk;Need for Closure Scale (Finnish);5;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;5;5;5;5;4;4;6;6;5;5;4;4;4;4;4;4;5;5;5;5;4;4;3;3;4;4;133134
1;1642971753780;23/01/2022 21:02:33;1642971753245;2;23/01/2022 23:02:33;55551;25;questionnaire-mz16;;18789026;BLIND;5559681;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1447x766;Openminded Chunk;Need for Closure Scale (Finnish);5;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;1;1;2;2;2;2;3;3;5;5;6;6;4;4;1;1;3;3;2;2;3;3;2;2;1;1;1;1;87634
1;1643022986553;24/01/2022 11:16:26;1643022986442;2;24/01/2022 13:16:26;55551;25;questionnaire-mz16;;18798802;BLIND;5562166;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1536x864;1462x762;Openminded Chunk;Need for Closure Scale (Finnish);5;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;4;4;4;4;3;3;4;4;5;5;4;4;2;2;3;3;2;2;4;4;4;4;2;2;3;3;71266
1;1643049503087;24/01/2022 18:38:23;1643049502002;2;24/01/2022 20:38:22;55551;25;questionnaire-mz16;;18822795;BLIND;5569558;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Need for Closure Scale (Finnish);5;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;1;1;2;2;1;1;1;1;1;1;6;6;5;5;3;3;4;4;4;4;3;3;4;4;1;1;1;1;131711
1;1643114000285;25/01/2022 12:33:20;1643113998892;2;25/01/2022 14:33:18;55551;25;questionnaire-mz16;;18846828;BLIND;5578226;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1680x1050;1680x899;Reasoning Chunk;Need for Closure Scale (Finnish);5;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;;No;6;6;4;4;6;6;5;5;3;3;5;5;3;3;1;1;1;1;6;6;4;4;6;6;6;6;1;1;6;6;48989
1;1643303585768;27/01/2022 17:13:05;1643303585073;2;27/01/2022 19:13:05;55551;25;questionnaire-mz16;;18936384;BLIND;5608075;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;2560x1440;2327x1218;Openminded Chunk;Need for Closure Scale (Finnish);5;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;1;1;2;2;4;4;3;3;2;2;4;4;2;2;4;4;4;4;1;1;2;2;2;2;1;1;2;2;118327
