Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;IH1rev1;IH1rev1-quantised;IH2rev1;IH2rev1-quantised;IH3rev1;IH3rev1-quantised;IH4rev1;IH4rev1-quantised;IH5rev1;IH5rev1-quantised;IH6norm2;IH6norm2-quantised;IH7norm2;IH7norm2-quantised;IH8norm2;IH8norm2-quantised;IH9norm2;IH9norm2-quantised;IH10norm2;IH10norm2-quantised;IH11norm3;IH11norm3-quantised;IH12norm3;IH12norm3-quantised;IH13norm3;IH13norm3-quantised;IH14norm3;IH14norm3-quantised;IH15norm3;IH15norm3-quantised;IH16norm3;IH16norm3-quantised;IH17rev4;IH17rev4-quantised;IH18rev4;IH18rev4-quantised;IH19rev4;IH19rev4-quantised;IH20rev4;IH20rev4-quantised;IH21rev4;IH21rev4-quantised;IH22rev4;IH22rev4-quantised;END QUESTIONNAIRE
1;1642775764511;21/01/2022 14:36:04;1642775764691;2;21/01/2022 16:36:04;55551;25;questionnaire-oyla;;18727155;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Intellectual Humility Scale (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;3;3;1;1;2;2;1;1;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;1;1;1;1;1;1;2;2;1;1;2;2;139308
1;1642793329298;21/01/2022 19:28:49;1642793328928;2;21/01/2022 21:28:48;55551;25;questionnaire-oyla;;18741444;BLIND;5548631;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;2560x1287;Openminded Chunk;Intellectual Humility Scale (Finnish);7;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;2;2;2;2;2;2;2;2;4;4;4;4;5;5;5;5;5;5;4;4;4;4;4;4;4;4;3;3;3;3;1;1;1;1;1;1;2;2;1;1;1;1;268250
1;1642856181515;22/01/2022 12:56:21;1642856244516;2;22/01/2022 14:57:24;55551;25;questionnaire-oyla;;18756631;BLIND;5552405;;live;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.71;1366x768;1366x625;Decision Chunk;Intellectual Humility Scale (Finnish);7;CDBEAFNGMHLIKJ;Decision Chunk;;;;No;1;1;4;4;4;4;4;4;1;1;3;3;3;3;3;3;4;4;4;4;3;3;3;3;4;4;2;2;2;2;3;3;5;5;5;5;5;5;4;4;4;4;4;4;115753
1;1642890907709;22/01/2022 22:35:07;1642890907108;2;23/01/2022 00:35:07;55551;25;questionnaire-oyla;;18767827;BLIND;5555000;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;2560x1440;2560x1329;Openminded Chunk;Intellectual Humility Scale (Finnish);7;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;2;2;2;2;3;3;3;3;2;2;4;4;5;5;5;5;4;4;4;4;4;4;4;4;5;5;4;4;2;2;3;3;2;2;2;2;4;4;1;1;1;1;2;2;139033
1;1642930873456;23/01/2022 09:41:13;1642930872775;2;23/01/2022 11:41:12;55551;25;questionnaire-oyla;;18772173;BLIND;5555882;;complete;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 96.0;1440x900;1440x685;Openminded Chunk;Intellectual Humility Scale (Finnish);7;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;5;5;5;5;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;3;3;4;4;3;3;2;2;2;2;2;2;2;2;3;3;283043
1;1642966146606;23/01/2022 19:29:06;1642966146489;2;23/01/2022 21:29:06;55551;25;questionnaire-oyla;;18786568;BLIND;5556093;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1366x768;1301x626;Openminded Chunk;Intellectual Humility Scale (Finnish);7;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;3;3;3;3;4;4;2;2;3;3;3;3;2;2;2;2;3;3;199436
1;1642972230910;23/01/2022 21:10:30;1642972230383;2;23/01/2022 23:10:30;55551;25;questionnaire-oyla;;18789255;BLIND;5559681;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1447x766;Openminded Chunk;Intellectual Humility Scale (Finnish);7;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;1;1;1;1;1;1;1;1;4;4;4;4;4;4;5;5;4;4;5;5;4;4;4;4;4;4;4;4;4;4;3;3;2;2;4;4;4;4;1;1;4;4;140437
1;1643024461736;24/01/2022 11:41:01;1643024461611;2;24/01/2022 13:41:01;55551;25;questionnaire-oyla;;18799567;BLIND;5562166;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1536x864;1462x762;Openminded Chunk;Intellectual Humility Scale (Finnish);7;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;2;2;3;3;3;3;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3;3;3;3;2;2;2;2;4;4;145607
1;1643052009682;24/01/2022 19:20:09;1643052008537;2;24/01/2022 21:20:08;55551;25;questionnaire-oyla;;18824711;BLIND;5569558;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Intellectual Humility Scale (Finnish);7;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;1;1;1;1;1;1;1;1;1;1;5;5;3;3;3;3;4;4;3;3;5;5;4;4;5;5;5;5;4;4;4;4;3;3;1;1;2;2;3;3;1;1;3;3;186829
1;1643308851552;27/01/2022 18:40:51;1643308850843;2;27/01/2022 20:40:50;55551;25;questionnaire-oyla;;18941391;BLIND;5608075;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1368x912;1244x738;Openminded Chunk;Intellectual Humility Scale (Finnish);7;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;3;3;2;2;2;2;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;2;2;2;2;2;2;2;2;1;1;1;1;88154
