Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;extroversionNormal;extroversionNormal-quantised;agreeablenessReverse;agreeablenessReverse-quantised;conscientiousnessNormal;conscientiousnessNormal-quantised;emotionalStabilityReverse;emotionalStabilityReverse-quantised;opennessNormal;opennessNormal-quantised;extroversionReverse;extroversionReverse-quantised;agreeablenessNormal;agreeablenessNormal-quantised;conscientiousnessReverse;conscientiousnessReverse-quantised;emotionalStabilityNormal;emotionalStabilityNormal-quantised;opennessReverse;opennessReverse-quantised;END QUESTIONNAIRE
1;1645252535271;19/02/2022 06:35:35;1645252534364;2;19/02/2022 08:35:34;55551;25;questionnaire-w8n1;;19595667;BLIND;5818084;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 98.0.1108.56;1366x768;1366x617;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;3;3;6;6;2;2;7;7;3;3;6;6;2;2;6;6;4;4;76751
1;1644856228439;14/02/2022 16:30:28;1644856228336;2;14/02/2022 18:30:28;55551;25;questionnaire-w8n1;;19434454;BLIND;5767733;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Chrome 97.0.4692.99;1440x900;1292x731;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;5;5;5;5;1;1;6;6;4;4;6;6;4;4;3;3;1;1;61679
1;1644417563777;09/02/2022 14:39:23;1644417563762;2;09/02/2022 16:39:23;55551;25;questionnaire-w8n1;;19309055;BLIND;5726771;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1536x864;1536x778;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;2;2;6;6;4;4;5;5;4;4;5;5;1;1;4;4;2;2;45832
1;1644229098259;07/02/2022 10:18:18;1644229097805;2;07/02/2022 12:18:17;55551;25;questionnaire-w8n1;;19227173;BLIND;5695925;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1366x768;1366x663;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;3;3;4;4;7;7;5;5;4;4;5;5;2;2;1;1;25985
1;1644227495066;07/02/2022 09:51:35;1644227494892;2;07/02/2022 11:51:34;55551;25;questionnaire-w8n1;;19226354;BLIND;5695843;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.6;Safari 14.0.1;1280x800;1280x634;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3;3;5;5;7;7;1;1;4;4;5;5;3;3;2;2;6;6;5;5;43755
1;1643965485176;04/02/2022 09:04:45;1643965484195;2;04/02/2022 11:04:44;55551;25;questionnaire-w8n1;;19155593;BLIND;5676387;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1920x1080;1920x890;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;2;2;6;6;2;2;7;7;3;3;3;3;1;1;6;6;1;1;67248
1;1646053425775;28/02/2022 13:03:45;1646053425645;2;28/02/2022 15:03:45;55551;25;questionnaire-w8n1;;19894156;BLIND;5896498;;complete;;;computer;Desktop or Laptop;Mac OS 10.10.5;Chrome 87.0.4280.88;1440x900;1371x797;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;6;6;2;2;6;6;5;5;6;6;3;3;7;7;1;1;6;6;2;2;95205
1;1645996958579;27/02/2022 21:22:38;1645996957863;2;27/02/2022 23:22:37;55551;25;questionnaire-w8n1;;19880961;BLIND;5893310;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 98.0.1108.56;1536x864;1536x754;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;4;4;6;6;6;6;2;2;6;6;6;6;5;5;4;4;4;4;5;5;46466
1;1645960760775;27/02/2022 11:19:20;1645961123449;2;27/02/2022 13:25:23;55551;25;questionnaire-w8n1;;19872575;BLIND;5891043;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.102;1920x1080;1382x773;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;2;2;6;6;4;4;6;6;5;5;6;6;4;4;5;5;4;4;51043
1;1645821090733;25/02/2022 20:31:30;1645821091217;2;25/02/2022 22:31:31;55551;25;questionnaire-w8n1;;19847568;BLIND;5885149;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 98.0.4758.102;1280x720;1280x609;Openminded Chunk;Big 5 Personality TIPI (Finnish);4;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;5;5;4;4;6;6;6;6;5;5;4;4;7;7;3;3;4;4;3;3;47379
